CHR1=Asat_OT3098_v2_chr4D LEN1=361790929	CHR2=Aste_v1_chr4D	LEN2=470981485
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_1	110000001	343528420	1000	97.72%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_2	110010001	343528317	1000	97.82%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_3	110020001	118185066	1000	99.8%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_4	110030001	118195087	1000	99.2%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_5	110040002	118205082	997	97.39%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_6	110050001	118215081	1000	98.5%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_7	110060001	118225122	1000	99.4%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_8	110070001	118235118	1000	98.4%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_9	110080001	118245858	1000	97.61%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_10	110090001	118255859	1000	99%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_11	110100001	118275625	1000	99.3%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_12	110110001	118285629	1000	99.7%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_13	110120001	118295662	1000	98.7%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_14	110130001	118305652	1000	98.7%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_15	110140001	118315675	1000	97.6%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_16	110150001	118325657	1000	98.8%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_17	110160001	118335654	1000	99.2%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_18	110170001	118345649	1000	98.6%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_19	110180001	118355573	1000	99%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_20	110190001	118365522	1000	98.3%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_21	110200001	118376102	1000	98.7%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_22	110210001	118386131	1000	99%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_23	110220001	118396139	1000	99.1%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_24	110230001	118406352	1000	99.1%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_25	110240001	118425133	1000	98.2%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_26	110250001	118435129	1000	98.6%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_27	110260001	118445131	1000	97.15%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_28	110270001	118455148	1000	92.38%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_29	110280036	118455867	965	98.03%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_30	110290001	118474168	1000	99.1%	for
Asat_OT3098_v2_chr4D_X_Aste_v1_chr4D_31	110300001	118484139	1000	99.4%	for
